ID_Nodo,Latitud,Longitud,Calle_A,Calle_B,Nombre_Esquina
2065925894,-24.7932845,-65.4318803,Ayuntamiento Albox,Mendoza,Ayuntamiento Albox y Mendoza
2065925896,-24.7932591,-65.4330946,Mendoza,Santa Victoria,Mendoza y Santa Victoria
2065925910,-24.793565,-65.4352769,Mendoza,Suipacha,Mendoza y Suipacha
2065925937,-24.7940508,-65.4329354,Pistarini,Santa Victoria,Pistarini y Santa Victoria
2065925942,-24.7941354,-65.4315528,Ayuntamiento Albox,Pistarini,Ayuntamiento Albox y Pistarini
2065925963,-24.7945909,-65.4329406,San Juan,Santa Victoria,San Juan y Santa Victoria
2065925966,-24.7946976,-65.431337,Ayuntamiento Albox,San Juan,Ayuntamiento Albox y San Juan
2067986593,-24.7733318,-65.4134719,25 de Mayo,Aniceto Latorre,25 de Mayo y Aniceto Latorre
2067986612,-24.7745946,-65.4135952,12 de Octubre,25 de Mayo,12 de Octubre y 25 de Mayo
2068540634,-24.7939554,-65.4100167,Buenos Aires,Miramar,Buenos Aires y Miramar
2068540646,-24.7941623,-65.4015961,Avenida San Martín,Granaderos de la Patria,Avenida San Martín y Granaderos de la Patria
2068540654,-24.7942314,-65.4086781,Córdoba,Miramar,Córdoba y Miramar
2068540663,-24.7945237,-65.4072036,Hernando de Lerma,Miramar,Hernando de Lerma y Miramar
2068540677,-24.7946717,-65.4072167,Hernando de Lerma,Miramar,Hernando de Lerma y Miramar
2068540678,-24.7947256,-65.4059082,Catamarca,Miramar,Catamarca y Miramar
2068540710,-24.7955171,-65.4015638,Coronel Feliciano Antonio Chiclana,Granaderos de la Patria,Coronel Feliciano Antonio Chiclana y Granaderos de la Patria
2068540759,-24.7959159,-65.4030177,Coronel Feliciano Antonio Chiclana,Juan Galo Lavalle,Coronel Feliciano Antonio Chiclana y Juan Galo Lavalle
2068540774,-24.7968015,-65.4030876,Abraham Cornejo,Juan Galo Lavalle,Abraham Cornejo y Juan Galo Lavalle
2076357328,-24.7837882,-65.4028971,Avenida del Bicentenario de la Batalla de Salta,Doctor Luis Linares,Avenida del Bicentenario de la Batalla de Salta y Doctor Luis Linares
2077087064,-24.7700703,-65.4229371,General Juan Antonio Álvarez de Arenales,Rudecindo Ibazeta,General Juan Antonio Álvarez de Arenales y Rudecindo Ibazeta
2077087067,-24.7704817,-65.4213587,General Juan Antonio Álvarez de Arenales,Martín Cornejo,General Juan Antonio Álvarez de Arenales y Martín Cornejo
2077087069,-24.7761287,-65.4194176,Río Bermejo,Simón Bolívar,Río Bermejo y Simón Bolívar
2077087070,-24.7762191,-65.4180861,Marcelo T. de Alvear,Río Bermejo,Marcelo T. de Alvear y Río Bermejo
2077087071,-24.7763074,-65.4166949,Adolfo Güemes,Río Bermejo,Adolfo Güemes y Río Bermejo
2077087072,-24.7772943,-65.4208966,Almirante Guillermo Brown,Coronel Ángel Mariano Zerda,Almirante Guillermo Brown y Coronel Ángel Mariano Zerda
2077087073,-24.77739,-65.4195502,Coronel Ángel Mariano Zerda,Simón Bolívar,Coronel Ángel Mariano Zerda y Simón Bolívar
2077087074,-24.777462,-65.4182165,Coronel Ángel Mariano Zerda,Marcelo T. de Alvear,Coronel Ángel Mariano Zerda y Marcelo T. de Alvear
2077087075,-24.7785419,-65.4210333,Almirante Guillermo Brown,Antártida Argentina,Almirante Guillermo Brown y Antártida Argentina
2077087076,-24.7786272,-65.419689,Antártida Argentina,Simón Bolívar,Antártida Argentina y Simón Bolívar
2077106921,-24.7987709,-65.4303455,Metán,Talcahuano,Metán y Talcahuano
2077106924,-24.8001349,-65.4293771,La Candelaria,Orán,La Candelaria y Orán
2077106926,-24.8013865,-65.4291148,La Candelaria,Tucumán,La Candelaria y Tucumán
2078075954,-24.7797664,-65.4313811,Avenida Entre Ríos,Luis Burela,Avenida Entre Ríos y Luis Burela
2080106169,-24.7860823,-65.4127659,General Martín Miguel de Güemes,Manuel Antonio Castro,General Martín Miguel de Güemes y Manuel Antonio Castro
